c,l1,adj_pR2,adj_weighted_pR2,num_coef
1e-05,0.0,-99.41192912173223,-819.571776637005,120.0
1e-05,0.2,-inf,-inf,0.0
1e-05,0.4,-inf,-inf,0.0
1e-05,0.6,-inf,-inf,0.0
1e-05,0.8,-inf,-inf,0.0
1e-05,1.0,-inf,-inf,0.0
0.0001,0.0,-99.31373803167823,-819.5106228802607,120.0
0.0001,0.2,-1.5687604573217986,-13.66245720677366,2.0
0.0001,0.4,-inf,-inf,0.0
0.0001,0.6,-inf,-inf,0.0
0.0001,0.8,-inf,-inf,0.0
0.0001,1.0,-inf,-inf,0.0
0.001,0.0,-99.04341263841393,-819.316105198283,120.0
0.001,0.2,-38.8022530403006,-323.1442944020252,47.333333333333336
0.001,0.4,-18.15369488080758,-152.202797098024,22.333333333333332
0.001,0.6,-8.434032139824545,-72.82172848576927,10.666666666666666
0.001,0.8,-5.4668334948145665,-47.6360104195901,7.0
0.001,1.0,-0.4528948571206765,-6.635799728554631,1.0
0.01,0.0,-98.81430530616747,-819.0134963401242,120.0
0.01,0.2,-68.7641191604064,-570.7923007212352,83.66666666666667
0.01,0.4,-47.063681070393834,-393.65745721752245,57.666666666666664
0.01,0.6,-32.71246245192879,-274.99527090820754,40.333333333333336
0.01,0.8,-20.89355653327838,-177.0161983977815,26.0
0.01,1.0,-6.418778649766311,-58.54468161800852,8.666666666666666
0.1,0.0,-98.70118499930844,-818.8403575758562,120.0
0.1,0.2,-88.15966287715281,-732.1902035243857,107.33333333333333
0.1,0.4,-76.3045355216769,-634.4283012810255,93.0
0.1,0.6,-65.5682797789626,-545.6312537860057,80.0
0.1,0.8,-54.9796465315377,-459.19289529678366,67.33333333333333
0.1,1.0,-22.289814879060554,-190.68682202768068,28.0
1.0,0.0,-98.66142081997761,-818.7616000034797,120.0
1.0,0.2,-93.73294964735804,-777.7746114241351,114.0
1.0,0.4,-84.60311009689856,-702.2259732643128,103.0
1.0,0.6,-80.01276674443476,-663.3677364146628,97.33333333333333
1.0,0.8,-68.46350015611007,-570.7417496326219,83.66666666666667
1.0,1.0,-45.298151179322325,-380.1107005995357,55.666666666666664
10.0,0.0,-98.65040499493857,-818.7287749198063,120.0
10.0,0.2,-94.60018089140442,-784.5677376796151,115.0
10.0,0.4,-93.14143936741982,-773.4702778917521,113.33333333333333
10.0,0.6,-92.05912536142525,-763.8709927720383,112.0
10.0,0.8,-89.66319766482451,-743.1595962454959,109.0
10.0,1.0,-78.65245740124227,-655.2309037303147,96.0
100.0,0.0,-98.64477663148595,-818.7179791521431,120.0
100.0,0.2,-98.05732865366262,-814.0288491439713,119.33333333333333
100.0,0.4,-97.22795395757981,-807.1988304228795,118.33333333333333
100.0,0.6,-97.81170923497145,-811.6786402897593,119.0
100.0,0.8,-93.87591488497844,-780.7201919398203,114.33333333333333
100.0,1.0,-95.3370703198395,-792.0250906037512,116.0
1000.0,0.0,-98.64413015545108,-818.7177097863214,120.0
1000.0,0.2,-98.64410712642196,-818.7177705192668,120.0
1000.0,0.4,-98.64407685099592,-818.7178157257184,120.0
1000.0,0.6,-98.64403349232337,-818.7178238735133,120.0
1000.0,0.8,-98.64396961136332,-818.7177538477639,120.0
1000.0,1.0,-98.64387209225076,-818.717549889475,120.0
